5.213423, 4.830667, 2.325655, 2.189495, 2.115819, 4.348174, 5.428414, 6.214721, 0.847107, 4.576209, 3.379884, 5.268010, 1.670904, 1.365431, 1.037922, 5.126360
5.223421, 4.820669, 2.335647, 2.199490, 2.105820, 4.358170, 5.418416, 6.224720, 0.837111, 4.586206, 3.369885, 5.258012, 1.660925, 1.375422, 1.047921, 5.116361
5.232366, 4.812455, 2.330480, 2.209497, 2.101587, 4.354082, 5.422596, 6.234447, 0.828977, 4.594339, 3.361552, 5.248394, 1.653064, 1.383506, 1.056819, 5.107376
5.241708, 4.803522, 2.323161, 2.219411, 2.102618, 4.357377, 5.427044, 6.244311, 0.820035, 4.603172, 3.362034, 5.239140, 1.644328, 1.388851, 1.065841, 5.098760
5.251163, 4.794203, 2.314868, 2.228101, 2.108002, 4.357887, 5.433819, 6.254259, 0.811023, 4.612414, 3.363873, 5.229696, 1.635476, 1.392106, 1.074619, 5.094123
5.258469, 4.785261, 2.306227, 2.236372, 2.114822, 4.358812, 5.435329, 6.263744, 0.801963, 4.621328, 3.368114, 5.220238, 1.626999, 1.390686, 1.083374, 5.092699
5.266587, 4.776190, 2.297363, 2.241260, 2.119671, 4.362143, 5.438162, 6.272928, 0.793392, 4.630132, 3.373395, 5.210976, 1.619122, 1.390942, 1.092549, 5.089232
5.268778, 4.775311, 2.300617, 2.247638, 2.118349, 4.357729, 5.440463, 6.277881, 0.790144, 4.636506, 3.368876, 5.209283, 1.613888, 1.395802, 1.089624, 5.084795
5.270541, 4.774124, 2.302623, 2.254805, 2.115966, 4.354917, 5.439571, 6.281888, 0.787779, 4.640975, 3.365588, 5.206683, 1.611226, 1.399000, 1.087935, 5.078997
5.273508, 4.773906, 2.305631, 2.259451, 2.113503, 4.352011, 5.438960, 6.285763, 0.785968, 4.645196, 3.361759, 5.206315, 1.608725, 1.403265, 1.085600, 5.073642
5.275842, 4.773731, 2.308021, 2.264688, 2.111491, 4.349800, 5.436595, 6.289140, 0.784128, 4.648531, 3.358637, 5.206159, 1.606793, 1.406348, 1.083783, 5.069334
5.277821, 4.774137, 2.310524, 2.269946, 2.110493, 4.347581, 5.433667, 6.292745, 0.782284, 4.651447, 3.355470, 5.206587, 1.604572, 1.409272, 1.081712, 5.066076
5.282424, 4.775466, 2.313685, 2.272290, 2.110419, 4.346105, 5.429454, 6.298319, 0.779568, 4.655108, 3.351482, 5.208448, 1.600369, 1.413482, 1.079194, 5.061374
5.285432, 4.776895, 2.316226, 2.276356, 2.112748, 4.344734, 5.424287, 6.303694, 0.775707, 4.658386, 3.348113, 5.210502, 1.595375, 1.415757, 1.076821, 5.061081
